,product_name,listing_manufacturer,listing_title
36,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Red)
37,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Blue)
38,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Black)
39,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Silver)
75,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Black)
79,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Blue)
80,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Silver)
83,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Black)
84,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Silver)
85,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Blue)
87,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Red)
137,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Black)
138,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Silver)
139,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Red)
140,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Black)
141,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Red)
142,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Silver)
143,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera w/Full 1080p HD Video (Red) NB4L Battery/Charger 16GB DavisMAX HDMI Bundle
144,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Black) + 16GB Deluxe Accessory Kit
145,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Silver) + 16GB Deluxe Accessory Kit
146,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Silver) + 16GB Accessory Kit
147,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Red) + 16GB Deluxe Accessory Kit
148,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Black) + 8GB Accessory Kit
149,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Silver) + 8GB Accessory Kit
150,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera w/Full 1080p HD Video (Black) NB4L Battery/Charger 16GB DavisMAX HDMI Bundle
151,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Red) + 8GB Accessory Kit
152,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Black) + 16GB Accessory Kit
153,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Red) + 16GB Accessory Kit
176,Canon-IXUS-115HS,Canon,"IXUS 115 + Hama 60H + 2GB SD + Tripod (Gris, 12MP, Zoom optique 4x, LCD 7,6cm)"
365,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digital Camera - Black (14.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
366,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digital Camera - Orange (14.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
367,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digital Camera - Pink (14.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
368,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digital Camera - Silver (14.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
369,Canon_Digital_IXUS_130_IS,Canon,CANON Digital Ixus 130 - silver + 4 GB SDHC Memory Card (ComboKit)
370,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digitalkamera (14 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, HD Video, bildstabilisiert) silber"
371,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digitalkamera (14 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, HD Video, bildstabilisiert) orange"
372,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digitalkamera (14 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, HD Video, bildstabilisiert) schwarz"
373,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 Digitalkamera (14 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, HD Video, bildstabilisiert) pink"
374,Canon_Digital_IXUS_130_IS,Canon,"Canon - IXUS 130 - Appareil photo numérique - 14,1 Mpix - Gris Argent"
375,Canon_Digital_IXUS_130_IS,Canon,"Canon - IXUS 130 - Appareil photo numérique - 14,1 Mpix - Noir"
376,Canon_Digital_IXUS_130_IS,Canon,"Canon - IXUS 130 - Appareil photo numérique - 14,1 Mpix - Orange"
377,Canon_Digital_IXUS_130_IS,Canon,"Canon - IXUS 130 - Appareil photo numérique - 14,1 Mpix - Rose"
378,Canon_Digital_IXUS_130_IS,Canon,"Canon - IXUS 130 - Appareil photo numérique - compact - 14.1 Mpix - zoom optique : 4 x - mémoire prise en charge : MMC, SD, SDXC, SDHC, MMCplus - argenté(e)"
379,Canon_Digital_IXUS_130_IS,Canon,"Canon IXUS 130 - Appareil photo numérique - compact - 14.1 Mpix - zoom optique : 4 x - mémoire prise en charge : MMC, SD, SDXC, SDHC, MMCplus - noir"
399,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digital Camera - Pink (14.1 MP, 5x Optical Zoom) 3.5 Inch PureColor Touch LCD"
400,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digital Camera - Black (14.1 MP, 5x Optical Zoom) 3.5 Inch PureColor Touch LCD"
401,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digital Camera - Silver (14.1 MP, 5x Optical Zoom) 3.5 Inch PureColor Touch LCD"
402,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digital Camera - Gold (14.1 MP, 5x Optical Zoom) 3.5 Inch PureColor Touch LCD"
403,Canon_Digital_IXUS_210_IS,Canon,Canon IXUS 210 Digital Camera 14.1MP (Silver) (4196B015)
404,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digitalkamera (14 Megapixel, 5-fach opt. Zoom, 8.9 cm (3.5 Zoll) Full-Touchscreen, bildstabilisiert) pink"
405,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digitalkamera (14 Megapixel, 5-fach opt. Zoom, 8.9 cm (3.5 Zoll) Full-Touchscreen, bildstabilisiert) schwarz"
406,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digitalkamera (14 Megapixel, 5-fach opt. Zoom, 8.9 cm (3.5 Zoll) Full-Touchscreen, bildstabilisiert) gold"
407,Canon_Digital_IXUS_210_IS,Canon,"Canon IXUS 210 Digitalkamera (14 Megapixel, 5-fach opt. Zoom, 8.9 cm (3.5 Zoll) Full-Touchscreen, bildstabilisiert) silber"
408,Canon_Digital_IXUS_210_IS,Canon,"Canon - IXUS 210 - Appareil photo numérique - 14,1 Mpix - Tactile - Noir"
409,Canon_Digital_IXUS_210_IS,Canon,"Canon - IXUS 210 - Appareil photo numérique - 14,1 Mpix - Tactile - Rose"
410,Canon_Digital_IXUS_210_IS,Canon,"Canon - IXUS 210 - Appareil photo numérique - 14,1 Mpix - Tactile - Argent"
411,Canon_Digital_IXUS_210_IS,Canon,"Canon - IXUS 210 - Appareil photo numérique - 14,1 Mpix - Tactile - Doré"
412,Canon_Digital_IXUS_210_IS,Canon,"Canon - IXUS 210 - Appareil photo numérique - compact - 14.1 Mpix - zoom optique : 5 x - mémoire prise en charge : MMC, SD, SDXC, SDHC, MMCplus - argenté(e)"
425,Canon_EOS-1D_Mark_IV,Canon,Canon EOS 1D Mark III Digital SLR Camera (Body Only)
488,Canon_EOS_550D,Canon,"EOS 550D + 18-55 IS + 100EG + 8GB SDHC + Tripod (18-55 IS, 16GB SDHC, Velbon CX-200, 100EG, UV Filt)"
489,Canon_EOS_550D,Canon,EOS 550D + 18-55 IS + 100EG + SDHC (Kit 18-55 mm IS)
503,Canon_EOS_550D,Canon,CANON EOS 550D + zoom CANON 18-200 IS (stabilisé) + 2° batterie CANON + 2x Filtres + Carte 16GB + Sac
628,Canon_EOS_7D,Canon,Canon EOS 7D 18MP SLR Digital Camera + Sigma 105mm f/2.8 EX DG Medium Telephoto Macro + Sigma Flash Macro Ring EM-140 DG + 16GB CF + Tripod + Hard Case + Remote Shutter Release + Combined 10-Year Digital SLR & Lens Warranty + Willoughby's Dental/Medical Accessory Package
656,Canon_EOS_Rebel_T1i,Canon,"Canon EOS Rebel T1i 15.1 MP Digital SLR Camera + Canon 18-55mm Image Stabilizer Lens + Tamron 75-300mm Zoom Lens + 2x Telephoto Lens (up to 600mm) + (2) UV Filters + (2) PL Filters + 8 GIG High Speed Memory Card + Extra High Capacity Battery + Camera Backpack + 57"" Deluxe Tripod + 11 Piece Kit + 3 Year Celltime Warranty"
665,Canon_EOS_Rebel_T1i,Canon,Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm IS Lens + 16 GB Memory Card + Multi-Coated UV Filter + Multi-Coated Polarizer Filter + Corel MediaOne Plus Software + 11 Piece Accessory Kit + Camera Holster Case + 3 Year Warranty Repair Contract
668,Canon_EOS_Rebel_T1i,Canon,"Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm IS Lens + Canon 75-300mm f/4-5.6 Telephoto Zoom Lens + .42x Wide Angle Lens with Macro + +1, +2, +4, +10 4 Piece Macro Close Up Kit + 16 GB Memory Card + Multi-Coated UV Filter (2) + Multi-Coated Polarizer Filter + Digital Slave Flash + 50"" Titanium Anodized Tripod + Deluxe Camera Bag + 6 Piece Accessory Kit + 3 Year Warranty Repair Contract"
671,Canon_EOS_Rebel_T1i,Canon,"Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm f/3.5-5.6 IS SLR Lens + Tamron 75-300 f/4-5.6 LD Lens + .42x Wide Angle Lens with Macro + +1, +2, +4, +10 4 Piece Macro Close Up Kit + 16 GB Memory Card + Multi-Coated UV Filter (2) + Multi-Coated Polarizer Filter + Digital Slave Flash + 50 "" Tripod + Deluxe Padded Camera Bag + 6 Piece Accessory Kit + 3 Year Warranty Repair Contract"
672,Canon_EOS_Rebel_T1i,Canon,"Canon EOS Rebel T1i 500D 15.1 MP Digital SLR Camera with Canon EF-S 18-55mm f/3.5-5.6 IS SLR Lens + Tamron 75-300 f/4-5.6 LD Lens + 16 GB Memory Card + Multi-Coated UV Filter (2) + Multi-Coated Polarizer Filter + Digital Slave Flash + 50"" Tripod + Deluxe Padded Camera Bag + 6 Piece Accessory Kit + 3 Year Warranty Repair Contract"
704,Canon_EOS_Rebel_T2i,Canon,Canon EOS Rebel T2i (aka 550D) Digital SLR Camera w/ Canon EF-S 18-135mm f/3.5-5.6 IS Lens & Canon EF 50mm f/1.4 USM Autofocus Standard & Medium Telephoto Lens + 16GB Bonus Photographers Package # 1
708,Canon_EOS_Rebel_T2i,Canon,"Canon T2I / 550D 36 Piece Pro Deluxe Kit With Canon 18-55mm & 75-300mm,5 Years Extended warranty , 16GB card +++"
743,Canon_EOS_Rebel_T2i,Canon,"Canon T2I / 550D 29 Piece Pro Deluxe Kit With Canon 28-135mm ,5 Years Extended warranty , 16GB card +++"
744,Canon_EOS_Rebel_T2i,Canon,"Canon T2I / 550D 29 Piece Pro Package With Canon EF-S 18-135mm IS Standard Zoom , 5 Years Extended warranty , 16GB card +++"
746,Canon_IXUS_105,Canon,"Canon IXUS 105 Digital Camera - Aqua (12.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
747,Canon_IXUS_105,Canon,"Canon IXUS 105 Digital Camera - Silver (12.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
748,Canon_IXUS_105,Canon,"Canon IXUS 105 Digital Camera - Pink (12.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
749,Canon_IXUS_105,Canon,"Canon IXUS 105 Digital Camera - Brown (12.1 MP, 4x Optical Zoom) 2.7 Inch PureColor LCD"
750,Canon_IXUS_105,Canon,"Canon IXUS 105 Digitalkamera (12 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, bildstabilisiert) silber"
751,Canon_IXUS_105,Canon,"Canon IXUS 105 Digitalkamera (12 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, bildstabilisiert) braun"
752,Canon_IXUS_105,Canon,"Canon IXUS 105 Digitalkamera (12 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, bildstabilisiert) aqua"
753,Canon_IXUS_105,Canon,"Canon IXUS 105 Digitalkamera (12 Megapixel, 4-fach opt. Zoom, 6.9 cm (2.7 Zoll) Display, bildstabilisiert) pink"
754,Canon_IXUS_105,Canon,"Canon - IXUS 105 - Appareil photo numérique - 12,1 Mpix - Marron"
755,Canon_IXUS_105,Canon,"Canon - IXUS 105 - Appareil photo numérique - 12,1 Mpix - Rose"
756,Canon_IXUS_105,Canon,"Canon - IXUS 105 - Appareil photo numérique - 12,1 Mpix - Gris Argent"
757,Canon_IXUS_105,Canon,"Canon - IXUS 105 - Appareil photo numérique - 12,1 Mpix - Turquoise"
812,Canon_PowerShot_A3100_IS,Canon,"Canon - Powershot A3100 - Appareil photo numérique - 12,1 Mpix - Argent + DCC 480 + 2 Go"
860,Canon_PowerShot_D10,Canon,Canon 3508B001 Powershot D10
898,Canon_PowerShot_S95,Canon,Canon PowerShot S95 - 1/1.7 CCD; 10.0M; DIGIC 4; 7.5 cm (3.0) PureColor II G (TFT); Hi-Speed USB (MTP; PTP) (4343B010AA)
1061,Canon_PowerShot_SX200_IS,Canon,"Canon PowerShot SX200 Digital Camera  - Red (12.1 MP, 12x Optical Zoom) 3.0 inch LCD"
1062,Canon_PowerShot_SX200_IS,Canon,"Canon PowerShot SX200 Digital Camera - Blue (12.1 MP, 12x Optical Zoom 3.0 inch LCD)"
1068,Canon_PowerShot_SX20_IS,Canon,Canon PowerShot SX20 12.1 Megapixel Digital Camera
1121,Casio-EX-ZR100,CASIO,Casio Exilim EX-ZR100 12.1 MP CMOS Sensor with 12.5x Optical Zoom Digital Camera Black
1122,Casio-EX-ZR100,CASIO,"Casio Exilim EX-ZR100 Digital Camera - Black (12.1MP, 12.5x Optical Zoom) 3 inch LCD"
1123,Casio-EX-ZR100,CASIO,"Casio Exilim EX-ZR100 Digital Camera - White (12.1MP, 12.5x Optical Zoom, 3 inch LCD)"
1124,Casio-EX-ZR100,CASIO,"Casio Exilim EX-ZR100 Highspeed-Digitalkamera (12 Megapixel, 12,5-fach opt. Zoom, 7,6 cm (3 Zoll) Display, bildstabilisiert) schwarz"
1125,Casio-EX-ZR100,CASIO,"Casio Exilim EX-ZR100 Highspeed-Digitalkamera (12 Megapixel, 12,5-fach opt. Zoom, 7,6 cm (3 Zoll) Display, bildstabilisiert) weiß"
1126,Casio-EX-ZR100,CASIO,"Casio - EX-ZR100 - Appareil Photo Numérique - 12,1 Mpix - Blanc"
1127,Casio-EX-ZR100,CASIO,"Casio - EX-ZR100 - Appareil Photo Numérique - 12,1 Mpix - Noir"
1418,Fujifilm-F500-EXR,FUJIFILM,"Fujifilm FinePix F500 Digital Camera - Black (16MP, 15x Optical Zoom) 3 inch LCD"
1419,Fujifilm-F500-EXR,FUJIFILM,"Fujifilm FinePix F500 Digital Camera - White (16MP, 15x Optical Zoom) 3 inch LCD"
1420,Fujifilm-F500-EXR,FUJIFILM,"Fujifilm FinePix F500 Digital Camera - Red (16MP, 15x Optical Zoom) 3 inch LCD"
1433,Fujifilm-F550-EXR,FUJIFILM,"Fujifilm FinePix F550 Digital Camera - Black (16MP, 15x Optical Zoom) 3-inch LCD"
1446,Fujifilm-JX200,Fuji,"Camera, Digital, 12mp-5x, Jx200, Blk"
