,product_name,listing_manufacturer,listing_title
5942,Canon-SX220-HS,Canon,Canon original - Batterie Lithium-Ion pour PowerShot SX220 HS/SX230 HS
5943,Canon_Digital_IXUS_110_IS,Canon,Canon Powershot SX110IS 9MP Digital Camera with 10x Optical Image Stabilized Zoom (Black)
5944,Canon_Digital_IXUS_110_IS,Canon,"Canon PowerShot SX110 IS Digital Camera - Silver (9.0MP, 10x Optical Zoom) 3.0 inch LCD"
5945,Canon_Digital_IXUS_110_IS,Canon,"Canon - PowerShot SX110 IS - Appareil photo compact numérique - Ecran LCD 3"" - 9 MP - Stabilisateur - Silver"
5946,Canon_Digital_IXUS_110_IS,Canon,"Canon - PowerShot SX110 IS - Appareil photo compact numérique - Ecran LCD 3"" - 9 Mpix - Stabilisé - Noir"
5947,Canon_Digital_IXUS_100_IS,Canon Cameras US,Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Blue)
5948,Canon_Digital_IXUS_100_IS,Canon,Canon PowerShot SX100IS 8MP Digital Camera with 10x Optical Image Stabilized Zoom (Black)
5949,Canon_Digital_IXUS_100_IS,Canon,Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Silver)
5950,Canon_Digital_IXUS_100_IS,Canon,Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Brown)
5951,Canon_Digital_IXUS_100_IS,Canon,Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Pink)
5952,Canon_Digital_IXUS_100_IS,Canon,Canon PowerShot SX100IS 8MP Digital Camera with 10x Optical Image Stabilized Zoom (Silver)
5953,Canon_Digital_IXUS_100_IS,Canon,Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Gold)
5954,Canon_Digital_IXUS_100_IS,Canon,"Canon Powershot SX100 IS (8 Megapixel, 10-fach opt. Zoom, 2,5"" Display, Bildstabilisator) schwarz"
5955,Canon_Digital_IXUS_200_IS,Canon Canada,Canon PowerShot A2200IS (Red)
5956,Canon_Digital_IXUS_200_IS,Canon Canada,Canon PowerShot A2200IS (Blue)
5957,Canon_Digital_IXUS_200_IS,Canon Canada,Canon PowerShot A2200IS (Black)
5958,Canon_Digital_IXUS_200_IS,Canon Canada,Canon PowerShot A2200IS (Silver)
5959,Canon_Digital_IXUS_200_IS,Canon,CANON EOS 550D + zoom CANON 18-200 IS (stabilisé) + 2° batterie CANON + 2x Filtres + Carte 16GB + Sac
5960,Canon_PowerShot_A5,Canon,Canon PowerShot A590IS 8MP Digital Camera with 4x Optical Image Stabilized Zoom
5961,Canon_PowerShot_A5,Canon,Canon Powershot A520 4MP Digital Camera with 4x Optical Zoom
5962,Canon_PowerShot_A5,Canon,Canon PowerShot A530 5MP Digital Camera with 4x Optical Zoom
5963,Canon_PowerShot_A5,Canon,Canon PowerShot A540 6MP Digital Camera with 4x Optical Zoom
5964,Canon_PowerShot_A5,Canon,Canon PowerShot A570IS 7.1MP Digital Camera with 4x Optical Image Stabilized Zoom
5965,Canon_PowerShot_A5,Canon,Canon PowerShot A560 7.1MP Digital Camera with 4x Optical Zoom
5966,Canon_PowerShot_A5,Canon,Canon PowerShot A510 3.2MP Digital Camera with 4x Optical Zoom
5967,Canon_PowerShot_A5,Canon,Canon PowerShot A550 7.1MP Digital Camera with 4x Optical Zoom
5968,Canon_PowerShot_A5,Canon,Canon PowerShot A580 8MP Digital Camera with 4x Optical Zoom
5969,Canon_PowerShot_A5,Canon,"Canon PowerShot G10 14.7MP Digital Camera - 5x Optical Zoom, 3 inch PureColor LCD II Viewfinder - Black"
5970,Canon_PowerShot_A5,Canon,"Canon PowerShot A580 Digital Camera -Silver (8.0MP, 4xOptical Zoom) 2.5"" LCD"
5971,Canon_PowerShot_A5,Canon,Digitalcamera Canon PowerShot A590 IS
