,product_name,listing_manufacturer,listing_title
0,Agfa_DC-600uw,AgfaPhoto,AgfaPhoto - DC-600uw - Appareil photo numérique - 6 Mpix - Etanche à 10m - Orange
1,Agfa_ePhoto_CL30,Agfa,Agfa CL30 1MP Digital Camera
6,Canon-1100D,Canon,CANON 1100D + EF-S 18-55mm DC III Lens
39,Canon-600d,Canon,Canon - EOS 600D - Reflex boîtier nu - 18 Mpix - Full HD - Noir
40,Canon-600d,Canon,Canon - EOS 600D - Reflex boîtier nu - 18 Mpix - Full HD - Noir
45,Canon-600d,Canon,CANON EOS 600D + 15-85 IS + 70-300 IS USM GARANTI 4 ans
46,Canon-600d,Canon,CANON EOS 600D + 15-85 IS GARANTI 4 ans
47,Canon-600d,Canon,CANON EOS 600D + 15-85 IS GARANTI 4 ans + Pack Expert
48,Canon-600d,Canon,CANON EOS 600D + 15-85 IS + 70-300 IS USM GARANTI 4 ans + BGE8 + LPE8
49,Canon-600d,Canon,CANON EOS 600D + 15-85 IS GARANTI 4 ans + BGE8 + LPE8
54,Canon-600d,Canon UK Ltd,Canon EOS 600D Digital SLR Camera (Body Only)
55,Canon-600d,Canon UK Ltd,Canon EOS 600D Digital SLR Camera (Body Only)
72,Canon-A1200,Canon,Canon PowerShot A1200 black
90,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Red)
91,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Red)
92,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Blue)
93,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Black)
94,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Silver)
95,Canon-A2200,Canon Canada,Canon PowerShot A2200IS (Silver)
112,Canon-A2200,Canon,Canon A2200 14.1MP Digital Camera with 4x Optical Zoom - Black
188,Canon-A3200-IS,Canon,Canon A3200 IS PowerShot; 14.1 MP; Fine; Norm; 4320 x 3240 pixels; (L) 4320 x 3240; (M1) 3072 x 2304; (M2) 1600 x 1200; (S) 640 x 480; (W) 4320 x 2432; 4 x; 5 x (5040B010AA)
189,Canon-A3200-IS,Canon,Canon A3200 IS PowerShot; 14.1 MP; Fine; Norm; 4320 x 3240 pixels; (L) 4320 x 3240; (M1) 3072 x 2304; (M2) 1600 x 1200; (S) 640 x 480; (W) 4320 x 2432; 4 x; 5 x (5041B010AA)
215,Canon-A3300-IS,Canon,Canon PowerShot A3300 IS 16.0 MP with 5x Wide-Angle Optical Zoom (Silver)
216,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Black)
217,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Black)
218,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Black)
219,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Black)
233,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Blue)
234,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Blue)
235,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Silver)
236,Canon-A3300-IS,Canon,Canon Powershot A3300 16 MP Digital Camera with 5x Optical Zoom (Silver)
242,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Black)
243,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Silver)
244,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Blue)
246,Canon-A3300-IS,Canon,Canon Powershot A3300 16MP Digital Camera Kit (Red)
288,Canon-A3300-IS,Canon,Canon A3300 IS PowerShot; 16 MP; Fine; Norm; 4608 x 3456 pixels; (L) 4608 x 3456; (M1) 3264 x 2448; (M2) 1600 x 1200; (S) 640 x 480; (W) 4608 x 2592; 4 x; 5 x (5038B011AA)
289,Canon-A3300-IS,Canon,Canon A3300 IS PowerShot; 16 MP; Fine; Norm; 4608 x 3456 pixels; (L) 4608 x 3456; (M1) 3264 x 2448; (M2) 1600 x 1200; (S) 640 x 480; (W) 4608 x 2592; 4 x; 5 x (5034B011AA)
291,Canon-A3300-IS,Canon,Canon A3300 IS PowerShot; 16.0 MP; 4608 x 3456 pixels; (L) 4608 x 3456 (M1) 3264 x 2448 (M2) 1600 x 1200 (S) 640 x 480 (W) 4608 x 2592; 4 x; 5 x; f/2.8 - f/5.9 (5033B011AA)
294,Canon-A3300-IS,Canon,Canon A3300 IS PowerShot; 16.0 MP; 4608 x 3456 pixels; (L) 4608 x 3456 (M1) 3264 x 2448 (M2) 1600 x 1200 (S) 640 x 480 (W) 4608 x 2592; 4 x; 5 x; f/2.8 - f/5.9 (5037B011AA)
339,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Silver)
340,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Silver)
341,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Blue)
342,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Blue)
343,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Pink)
344,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Pink)
345,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Grey)
346,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Grey)
347,Canon-ELPH-100HS,Canon Canada,Canon PowerShot ELPH 100 HS (Orange)
348,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera with 4X Optical Zoom (Silver)
349,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera with 4X Optical Zoom (Silver)
350,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Blue)
351,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Blue)
352,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Grey)
353,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Pink)
354,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Pink)
355,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Pink)
356,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Orange)
357,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera with 4X Optical Zoom (Orange)
358,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Pink) + 16GB Deluxe Accessory Kit
359,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Grey) + 16GB Deluxe Accessory Kit
360,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera (Blue) + 16GB Deluxe Accessory Kit
361,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Silver) + 16GB Deluxe Accessory Kit
362,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Pink) + 16GB Accessory Kit
363,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Pink) + 8GB Accessory Kit
364,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Grey) + 8GB Accessory Kit
365,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Silver) + 8GB Accessory Kit
366,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Silver) + 16GB Accessory Kit
367,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12 MP CMOS Digital Camera (Orange) + 8GB Accessory Kit
368,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Blue) + 16GB Accessory Kit
369,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Grey) + 16GB Accessory Kit
370,Canon-ELPH-100HS,Canon,Canon PowerShot ELPH 100 HS 12.1 MP CMOS Digital Camera (Blue) + 8GB Accessory Kit
371,Canon-ELPH-100HS,Canon,Canon Powershot ELPH 100 HS 12MP Digital Camera Kit (Grey)
372,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Black)
373,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Black)
374,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Silver)
375,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Silver)
376,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Red)
377,Canon-ELPH-300HS,Canon Canada,Canon PowerShot ELPH 300 HS (Red)
378,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Black)
379,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Black)
380,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Red)
381,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Red)
382,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Silver)
383,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera with Full 1080p HD Video (Silver)
384,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera w/Full 1080p HD Video (Red) NB4L Battery/Charger 16GB DavisMAX HDMI Bundle
385,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Black) + 16GB Deluxe Accessory Kit
386,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Silver) + 16GB Deluxe Accessory Kit
387,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Silver) + 16GB Accessory Kit
388,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Red) + 16GB Deluxe Accessory Kit
389,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Black) + 8GB Accessory Kit
390,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Silver) + 8GB Accessory Kit
391,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera w/Full 1080p HD Video (Black) NB4L Battery/Charger 16GB DavisMAX HDMI Bundle
392,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Red) + 8GB Accessory Kit
393,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Black) + 16GB Accessory Kit
394,Canon-ELPH-300HS,Canon,Canon PowerShot ELPH 300 HS 12 MP CMOS Digital Camera (Red) + 16GB Accessory Kit
395,Canon-ELPH-500HS,Canon,Canon PowerShot ELPH 500 HS 12 MP CMOS Digital Camera with Full HD Video and Ultra Wide Angle Lens (Silver)
396,Canon-ELPH-500HS,Canon,Canon PowerShot ELPH 500 HS 12 MP CMOS Digital Camera with Full HD Video and Ultra Wide Angle Lens (Silver)
397,Canon-ELPH-500HS,Canon,Canon PowerShot ELPH 500 HS 12 MP CMOS Digital Camera with Full HD Video and Ultra Wide Angle Lens (Pink)
398,Canon-ELPH-500HS,Canon,Canon PowerShot ELPH 500 HS 12 MP CMOS Digital Camera with Full HD Video and Ultra Wide Angle Lens (Pink)
399,Canon-ELPH-500HS,Canon,Canon PowerShot ELPH 500 HS 12 MP CMOS Digital Camera with Full HD Video and Ultra Wide Angle Lens (Brown)
400,Canon-ELPH-500HS,Canon,Canon PowerShot ELPH 500 HS 12 MP CMOS Digital Camera with Full HD Video and Ultra Wide Angle Lens (Brown)
401,Canon-ELPH-500HS,Canon,"Canon IXY Digital camera IXY 31S Gold | ELPH 500 HS, IXUS 310 (Japan Import)"
402,Canon-ELPH-500HS,Canon,"Canon IXY Digital camera IXY 31S Pink | ELPH 500 HS, IXUS 310 (Japan Import)"
403,Canon-ELPH-500HS,Canon,"Canon IXY Digital camera IXY 31S Silver | ELPH 500 HS, IXUS 310 (Japan Import)"
404,Canon-ELPH-500HS,Canon,"Canon IXY Digital camera IXY 31S Brown | ELPH 500 HS, IXUS 310 (Japan Import)"
405,Canon-IXUS-115HS,Canon,CANON Digital Ixus 115 HS - grey
406,Canon-IXUS-115HS,Canon,CANON Digital Ixus 115 HS - grey
407,Canon-IXUS-115HS,Canon,Canon Digital IXUS 115 HS gray
408,Canon-IXUS-115HS,Canon,Canon 115 HS Digital IXUS; 12.1 MP; 4000 x 3000 pixels; 4000 x 3000; 2816 x 2112; 1600 x 1200; 640 x 480; 4000 x 2248; 2816 x 1584; 1920 x 1080;; 4 x; 4 x; f/2.8 - f/5.9 (4933B016AA)
409,Canon-IXUS-115HS,Canon,Canon 115 HS Digital IXUS; 12.1 MP; 4000 x 3000 pixels; 4000 x 3000; 2816 x 2112; 1600 x 1200; 640 x 480; 4000 x 2248; 2816 x 1584; 1920 x 1080;; 4 x; 4 x; f/2.8 - f/5.9 (4930B016AA)
410,Canon-IXUS-115HS,Canon,Canon 115 HS Digital IXUS; 12.1 MP; 4000 x 3000 pixels; 4000 x 3000; 2816 x 2112; 1600 x 1200; 640 x 480; 4000 x 2248; 2816 x 1584; 1920 x 1080;; 4 x; 4 x; f/2.8 - f/5.9 (4931B016AA)
411,Canon-IXUS-115HS,Canon,Canon 115 HS Digital IXUS; 12.1 MP; 4000 x 3000 pixels; 4000 x 3000; 2816 x 2112; 1600 x 1200; 640 x 480; 4000 x 2248; 2816 x 1584; 1920 x 1080;; 4 x; 4 x; f/2.8 - f/5.9 (4929B016AA)
447,Canon-IXUS-115HS,Canon,"IXUS 115 + Hama 60H + 2GB SD + Tripod (Gris, 12MP, Zoom optique 4x, LCD 7,6cm)"
448,Canon-IXUS-115HS,Canon,CANON Digital Ixus 115 HS - gris
449,Canon-IXUS-115HS,Canon,CANON Digital Ixus 115 HS - gris
450,Canon-IXUS-115HS,Canon,CANON Digital Ixus 115 HS - silver
451,Canon-IXUS-115HS,Canon,CANON Digital Ixus 115 HS - bleu
460,Canon-IXUS-115HS,Canon UK Ltd,"Canon IXUS 115 HS Digital Camera - Blue (12.1MP, 4x Optical Zoom) 3.0 inch LCD"
461,Canon-IXUS-115HS,Canon UK Ltd,"Canon IXUS 115 HS Digital Camera - Blue (12.1MP, 4x Optical Zoom) 3.0 inch LCD"
466,Canon-IXUS-220HS,Canon,CANON Digital Ixus 220 HS - red
467,Canon-IXUS-220HS,Canon,CANON Digital Ixus 220 HS - red
508,Canon-IXUS-220HS,Canon,CANON Digital Ixus 220 HS - rouge
509,Canon-IXUS-220HS,Canon,CANON Digital Ixus 220 HS - rouge
