,lManuf,pManufKeyword,pManuf
428,CANAL TOYS,canon,Canon
435,Canoon,canon,Canon
439,Midland Consumer Radio,casio,Casio
440,Clip Sonic Technology,konica,Konica Minolta
441,Konica,konica,Konica Minolta
447,Epsilon,epson,Epson
451,Fuji,fuji,Fujifilm
452,Fuji Film USA,fuji,Fujifilm
453,Fuji FinePix,fuji,Fujifilm
454,Fuji Photo Film Europe GmbH,fuji,Fujifilm
455,"Fuji Photo Film Usa, Inc.",fuji,Fujifilm
460,Hewlett Packard,hewlett,HP
461,Hewlett Packard GmbH,hewlett,HP
464,LESCA,leica,Leica
466,Leitz,leica,Leica
467,Lenco,leica,Leica
469,Minolta,minolta,Konica Minolta
475,OPYMPUS,olympus,Olympus
476,Olmypus,olympus,Olympus
482,Olymypus,olympus,Olympus
498,SAMYANG,samsung,Samsung
521,Syntax Corporation,contax,Contax
